"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","1.您的性别","2.你是否有制定学习计划的习惯？","3.你是否有课前预习的习惯？","4.在课上，你是否能认真记好笔记？","5.上课时，你是否能积极回答问题？","6.有不明白的问题，你是否及时向老师提问？","7.你是否有课下复习的习惯？","8.你是否能认真完成作业？","9.你是否能够及时改正错题？","10.你的学习成绩在年纪的排名是否达到前70%？",
"39","28-Jul-2020 17:22:25","28-Jul-2020 17:25:00","155","中国","天津市","天津市","","19106084225193","","","1","1","1","1","1","2","1","1","1","1",
"38","28-Jul-2020 17:20:04","28-Jul-2020 17:21:44","100","中国","天津市","天津市","","19106084225167","","","2","1","2","2","1","2","2","1","1","1",
"37","28-Jul-2020 17:15:03","28-Jul-2020 17:16:09","66","中国","天津市","天津市","","19106084225088","","","2","1","1","1","1","2","2","1","1","1",
"36","28-Jul-2020 17:09:57","28-Jul-2020 17:11:58","121","中国","河北省","邯郸市","","19106084224993","","","1","1","2","1","2","2","1","1","1","1",
"35","28-Jul-2020 17:10:18","28-Jul-2020 17:11:08","50","中国","天津市","天津市","","19106084225002","","","2","2","2","1","2","2","2","1","1","1",
"34","28-Jul-2020 17:09:30","28-Jul-2020 17:11:07","97","中国","天津市","天津市","QQ","226671278","","","1","1","1","1","1","2","1","1","1","1",
"33","28-Jul-2020 17:05:52","28-Jul-2020 17:07:25","93","中国","天津市","天津市","","19106084224932","","","2","1","2","1","2","2","2","2","2","1",
"32","28-Jul-2020 17:06:00","28-Jul-2020 17:07:08","68","中国","天津市","天津市","","19106084224935","","","1","1","1","1","1","1","1","1","1","1",
"31","28-Jul-2020 17:04:26","28-Jul-2020 17:06:22","116","中国","天津市","天津市","","19106084224913","","","2","1","2","1","2","1","2","1","1","1",
"30","28-Jul-2020 17:01:39","28-Jul-2020 17:03:13","94","中国","天津市","天津市","","19106084224874","","","1","1","2","1","2","2","1","1","1","1",
"29","28-Jul-2020 17:00:23","28-Jul-2020 17:01:56","93","中国","天津市","天津市","","19106084224855","","","2","1","1","1","1","2","1","1","1","1",
"28","28-Jul-2020 16:57:53","28-Jul-2020 16:58:50","57","中国","天津市","天津市","","19106084224822","","","2","2","2","1","1","1","2","1","1","1",
"27","28-Jul-2020 16:55:09","28-Jul-2020 16:56:25","76","中国","天津市","天津市","","19106084224787","","","2","2","1","1","1","2","2","1","1","1",
"26","28-Jul-2020 16:54:09","28-Jul-2020 16:55:18","69","中国","天津市","天津市","","19106084224773","","","2","1","2","1","2","2","1","1","1","2",
"25","28-Jul-2020 16:54:07","28-Jul-2020 16:55:10","63","中国","天津市","天津市","","19106084224771","","","1","2","2","1","2","2","1","1","1","2",
"24","28-Jul-2020 16:50:26","28-Jul-2020 16:52:32","126","中国","天津市","天津市","","19106084224734","","","1","1","1","1","1","2","1","2","1","1",
"23","28-Jul-2020 16:50:25","28-Jul-2020 16:51:34","69","中国","天津市","天津市","","19106084224699","","","1","2","2","1","2","2","1","1","1","1",
"22","28-Jul-2020 16:48:33","28-Jul-2020 16:51:30","177","中国","天津市","天津市","","19106083976375","","","1","2","2","2","2","2","2","1","2","1",
"21","28-Jul-2020 16:47:39","28-Jul-2020 16:48:52","73","中国","天津市","天津市","QQ","445161631","","","2","2","1","1","2","2","2","1","1","2",
"20","28-Jul-2020 16:43:04","28-Jul-2020 16:44:26","82","中国","河北省","沧州市","QQ","2381402527","","","2","1","1","1","1","2","2","1","1","1",
"19","28-Jul-2020 16:42:43","28-Jul-2020 16:44:10","87","中国","天津市","天津市","","19106084224625","","","1","1","2","1","1","1","2","1","1","1",
"18","20-Jul-2020 18:18:31","20-Jul-2020 18:19:44","73","中国","天津市","天津市","","19106083990710","","","2","1","1","1","2","1","2","1","2","1",
"17","20-Jul-2020 13:02:10","20-Jul-2020 13:03:28","78","中国","天津市","天津市","QQ","3047211986","","","2","2","2","1","2","2","2","1","1","1",
"16","19-Jul-2020 21:21:11","19-Jul-2020 21:23:08","117","中国","天津市","天津市","","19106083979365","","","1","1","1","1","1","2","1","1","1","1",
"15","28-Jul-2020 16:55:08","28-Jul-2020 16:55:22","14","中国","天津市","天津市","","19106083977691","","","2","1","1","1","2","2","2","1","2","1",
"14","19-Jul-2020 17:41:39","19-Jul-2020 17:44:13","154","中国","天津市","天津市","","19106083976543","","","1","1","2","1","2","2","2","1","1","1",
"13","19-Jul-2020 17:07:17","19-Jul-2020 17:09:21","124","中国","天津市","天津市","","19106083976134","","","1","1","1","1","1","2","1","1","1","1",
"12","19-Jul-2020 16:55:39","19-Jul-2020 16:57:19","100","中国","天津市","天津市","","19106083975970","","","1","2","2","1","1","2","1","1","1","2",
"11","19-Jul-2020 16:50:06","19-Jul-2020 16:52:01","115","中国","天津市","天津市","","19106083975889","","","2","1","1","1","2","2","1","1","1","1",
"10","19-Jul-2020 16:38:11","19-Jul-2020 16:39:10","59","中国","天津市","天津市","","19106083975722","","","2","1","1","1","1","1","1","1","1","1",
"9","19-Jul-2020 16:35:52","19-Jul-2020 16:38:13","141","中国","天津市","天津市","QQ","2889794655","","","2","1","1","1","1","1","2","1","1","1",
"8","19-Jul-2020 16:26:54","19-Jul-2020 16:28:33","99","中国","天津市","天津市","QQ","2879007371","","","2","1","1","1","1","2","1","2","1","1",
"7","19-Jul-2020 16:15:16","19-Jul-2020 16:16:12","56","中国","天津市","天津市","QQ","1209928175","","","2","2","1","1","1","2","1","1","1","1",
"6","19-Jul-2020 16:14:45","19-Jul-2020 16:15:09","24","中国","天津市","天津市","","19106083975464","","","1","1","1","1","1","2","1","1","1","1",
"5","19-Jul-2020 15:55:39","19-Jul-2020 15:56:58","79","中国","天津市","天津市","QQ","30000883917","","","2","1","1","1","1","2","1","1","1","2",
"4","19-Jul-2020 15:53:33","19-Jul-2020 15:55:37","124","中国","天津市","天津市","QQ","321216117","","","1","1","2","1","1","2","2","1","1","1",
"3","19-Jul-2020 15:52:44","19-Jul-2020 15:54:08","84","中国","天津市","天津市","QQ","3149141587","","","2","1","2","1","2","2","2","2","1","1",
"2","19-Jul-2020 15:52:16","19-Jul-2020 15:53:51","95","中国","天津市","天津市","","19106083975180","","","2","2","2","1","2","2","2","1","1","1",
"1","19-Jul-2020 15:50:52","19-Jul-2020 15:51:53","61","中国","天津市","天津市","QQ","1770471336","","","2","1","1","1","2","2","1","1","1","1",
